Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
33,Darius Bazley\bazleda01,PF,19,OKC,53,8,909,3.5,9.1,.383,1.2,4.0,.300,2.3,5.1,.446,1.3,1.9,.681,0.8,6.9,7.8,1.1,0.8,1.4,1.6,1.8,9.4
34,Bradley Beal\bealbr01,SG,26,WAS,51,51,1829,10.4,22.8,.458,2.8,8.3,.335,7.7,14.5,.529,6.8,8.1,.844,1.0,3.4,4.4,6.1,1.1,0.4,3.4,2.3,30.4
35,Malik Beasley\beaslma01,SG,23,TOT,49,8,1017,6.3,15.6,.407,3.2,8.4,.376,3.2,7.2,.443,1.7,2.0,.825,0.5,3.8,4.4,2.3,1.3,0.3,1.7,2.5,17.5
35,Malik Beasley\beaslma01,SG,23,DEN,41,0,746,5.6,14.5,.389,2.8,7.8,.360,2.8,6.8,.421,1.6,1.8,.868,0.4,3.3,3.7,2.3,1.5,0.3,1.7,2.4,15.7
35,Malik Beasley\beaslma01,SG,23,MIN,8,8,271,8.2,18.5,.446,4.1,10.1,.408,4.1,8.4,.492,1.9,2.5,.737,0.8,5.3,6.1,2.4,0.8,0.3,1.6,2.8,22.5
36,Marco Belinelli\belinma01,SG,33,SAS,49,0,746,4.8,12.5,.384,2.6,7.0,.363,2.2,5.4,.411,1.5,2.0,.780,0.2,4.0,4.2,3.0,0.5,0.0,0.7,1.9,13.7
37,Jordan Bell\belljo01,C-PF,25,TOT,29,0,256,4.9,9.4,.522,0.6,1.7,.333,4.4,7.7,.564,2.7,4.4,.613,4.2,7.2,11.4,2.3,0.4,1.4,3.0,2.7,13.1
37,Jordan Bell\belljo01,C,25,MIN,27,0,235,4.9,9.2,.533,0.3,1.4,.222,4.6,7.8,.588,2.6,4.4,.586,4.3,7.7,11.9,2.1,0.3,1.5,2.8,2.6,12.7
37,Jordan Bell\belljo01,PF,25,MEM,2,0,21,5.1,12.0,.429,3.4,5.1,.667,1.7,6.9,.250,3.4,3.4,1.000,3.4,1.7,5.1,3.4,1.7,0.0,5.1,3.4,17.1
38,DeAndre' Bembry\bembrde01,SG,25,ATL,43,4,915,4.1,9.0,.456,0.6,2.6,.231,3.5,6.4,.546,1.0,1.9,.542,1.3,4.6,6.0,3.2,2.2,0.7,2.4,3.3,9.8
39,Dragan Bender\bendedr01,SF,22,TOT,10,1,158,3.2,8.9,.359,1.4,4.6,.300,1.8,4.3,.421,0.5,1.1,.400,0.9,6.8,7.7,3.2,0.7,1.4,2.5,5.5,8.2
39,Dragan Bender\bendedr01,SF,22,MIL,7,0,91,4.0,8.3,.476,1.6,3.6,.444,2.4,4.7,.500,0.8,1.2,.667,0.0,7.9,7.9,3.6,0.0,2.0,2.0,6.3,10.3
39,Dragan Bender\bendedr01,SF,22,GSW,3,1,67,2.1,9.7,.222,1.1,5.9,.182,1.1,3.8,.286,0.0,1.1,.000,2.1,5.4,7.5,2.7,1.6,0.5,3.2,4.3,5.4
40,Dāvis Bertāns\bertada01,PF,27,WAS,48,4,1412,5.8,13.5,.429,4.3,10.3,.415,1.5,3.2,.476,2.3,2.6,.864,0.8,4.8,5.7,2.1,0.9,0.8,1.2,3.0,18.2
41,Patrick Beverley\beverpa01,PG,31,LAC,43,43,1185,4.0,9.1,.435,2.1,5.6,.375,1.9,3.6,.530,0.7,1.2,.632,1.6,5.7,7.4,5.1,1.5,0.8,1.7,4.1,10.8
42,Khem Birch\birchkh01,C,27,ORL,38,24,773,2.6,5.3,.496,0.0,0.0,.000,2.6,5.2,.500,1.9,3.1,.612,3.3,5.1,8.4,1.6,0.7,1.0,1.1,3.4,7.1
